year,pauper_s_ovl_fre,skiver_s_ovl_fre,scrounger_s_ovl_fre,loafer_s_ovl_fre,shirker_s_ovl_fre,idler_s_ovl_fre,indolent_ovl_fre,workshy_ovl_fre,dependency_ovl_fre,feckless_ovl_fre,deservingpoor_ovl_fre,dependentonbenefits_ovl_fre,unemployable_ovl_fre,delinquent_ovl_fre,delinquency_ovl_fre,criminalclass_ovl_fre,riffraff_ovl_fre,peon_s_ovl_fre,peasant_s_ovl_fre,underclass_ovl_fre,lowerclass_ovl_fre,dangerousclass_ovl_fre,residuum_ovl_fre,beggar_s_ovl_fre,vagrant_ovl_fre,vagrancy_ovl_fre,tramps_ovl_fre,indigent_ovl_fre,unemprate,no_of_articles,shakespeare_ovl_fre,mozart_ovl_fre,football_ovl_fre,cricket_ovl_fre,opera_ovl_fre,theatre_ovl_fre,france_ovl_fre,germany_ovl_fre,america_ovl_fre,bedroom_ovl_fre,bathroom_ovl_fre,kitchen_ovl_fre,public_debt,party,tax_rev_gdppc,spending_gov_gdppc,uerate_ihs,uerate_boe,defence_PCgdp
1895,508,7,0,61,0,151,35,1.0001,93,6,67,0,1.0001,31,2,15,1.0001,399,518,0,54,7,39,349,30,20,273,113,5.409914152525636,94137.93,444,230,1023,2337,3103,4432,6496,4011,5272,499,386,2779,39.67,0,,12.51,5.8,6.316293317139761,2.39
1896,416,0,0,44,2,112,49,0,78,1.0001,28,0,2,25,9,8,0,376,550,0,57,9,32,214,43,13,340,73,3.000727000125232,121428.57,329,97,1232,1743,2745,4268,5325,3769,5008,351,219,2064,38.16,0,,12.54,3.3,5.267507133264867,2.5
1897,560,5,0,85,2,192,54,1.0001,148,4,61,0,1.0001,52,14,10,5,339,811,1.0001,59,9,32,320,58,18,583,184,3.020254944664422,142195.13,674,233,1622,2524,4093,6421,7199,5580,5876,720,265,3145,36.25,0,,12.72,3.3,5.094183064356666,2.56
1898,513,23,0,71,5,175,53,0,108,0,52,0,0,41,6,9,4,328,743,0,77,13,28,346,70,53,664,136,2.546545239377218,122962.96,714,351,1685,2647,3518,6265,7961,5797,6432,641,268,3119,34.83,0,,12.62,2.8,4.22352818319617,2.43
1899,490,12,0,101,45,138,38,0,110,2,153,0,0,35,7,19,3,322,750,0,92,7,35,662,83,31,760,145,1.760313099281712,128813.56,731,339,1761,2874,3712,6706,7461,5116,6425,592,309,3140,32.69,0,,12.67,2,3.699897004107558,2.53
1900,358,6,0,72,11,107,34,0,85,2,53,0,1.0001,32,4,10,1.0001,325,584,0,75,6,18,672,47,20,511,163,2.217972512970897,141944.44,761,340,1464,2562,3216,6522,5836,4838,6213,605,292,3276,30.17,0,10.01,14.06,2.5,3.66983785439498,3.78
1901,404,1.0001,0,84,9,138,37,0,120,3,43,0,2,26,10,15,1.0001,306,683,0,80,5,29,203,54,17,443,167,2.981718656094841,126571.43,618,258,1656,2296,2738,5564,5604,5137,5988,468,239,2945,33.24,0,10.67,17.25,3.3,4.863918629550321,6.5
1902,393,1.0001,0,88,4,135,40,2,90,3,74,0,2,23,7,8,0,388,769,0,58,8,22,224,72,31,637,241,3.634478098815824,124901.96,647,311,1741,2300,3096,6254,5345,4944,5980,638,372,3111,35.92,0,11.48,18.34,4,5.130938520198863,6.91
1903,556,5,0,87,4,120,43,0,99,4,61,0,26,13,9,9,1.0001,334,1121,0,55,8,26,279,87,37,632,219,4.325862863477234,126400,669,392,1593,2464,3815,6470,6609,5930,6313,683,241,3121,38.02,0,12.38,18.41,4.7,5.586837236819779,6.06
1904,610,21,0,117,1.0001,144,37,1.0001,120,1.0001,81,0,18,26,11,11,0,339,864,0,69,5,21,268,90,93,739,215,5.621778133164224,160652.17,976,450,1910,2992,4021,8060,7109,5346,7643,766,247,3327,37.81,0,12.22,16.43,6,6.893718705826759,3.96
1905,624,7,0,136,17,156,49,1.0001,122,4,113,0,51,18,7,11,0,319,1330,0,91,13,25,269,138,38,732,204,4.653995754949862,162666.67,1040,489,2361,2655,3762,7453,8074,6338,7981,911,261,3269,36.29,3,11.91,17.82,5,6.462543366597433,3.49
1906,630,12,0,121,8,137,39,0,136,7,125,0,40,20,3,19,1.0001,374,1394,0,74,10,24,242,101,75,680,167,3.299682361246292,183783.78,809,444,2020,2587,4125,6807,7740,5701,8016,735,287,3087,34.42,3,11.57,15.18,3.6,5.163002067356209,3.16
1907,545,5,0,150,19,133,38,0,139,4,93,0,26,27,18,9,2,405,1475,0,88,15,34,344,82,48,661,198,3.369667829092596,188857.14,828,499,2558,3029,4962,8088,8642,6563,9136,1025,321,3608,32.35,3,11.26,14.44,3.7,4.38593884732279,2.89
1908,844,5,0,187,16,125,48,3,156,8,135,0,65,32,11,11,1.0001,526,929,0,86,9,34,477,107,36,781,219,7.359073546020643,205526.31,949,479,2509,2871,4736,7925,9654,7508,9607,1195,249,3352,33.3,3,11.43,14.78,7.8,7.08072017049003,3
1909,768,12,0,130,21,114,36,1.0001,152,9,76,1.0001,77,31,10,16,1.0001,548,1033,0,86,9,39,321,96,70,769,218,7.242062397962624,213611.11,1105,369,2841,3029,5009,8785,9541,7865,9758,1182,302,3347,32.39,3,11.54,14.73,7.7,7.513973175394989,2.96
1910,749,3,0,142,19,123,28,0,111,11,67,1.0001,45,24,13,10,0,525,977,0,65,13,37,387,85,45,881,203,4.350636159318286,225897.44,1118,505,2476,2696,5123,8615,9349,7529,9879,1229,307,3084,31.65,3,10.36,15.95,4.7,5.771821348244211,3.03
1911,635,9,0,119,19,115,33,2,126,7,56,0,38,21,2,12,1.0001,547,861,0,76,10,52,265,68,58,784,152,2.716444115586076,245000,1125,599,2471,2909,5410,9012,10177,8392,9260,1198,388,3204,29.22,3,13.01,14.97,3,4.72854340362923,3.13
1912,473,7,0,79,34,120,42,2,131,6,62,0,19,24,5,15,0,447,927,0,56,7,32,244,46,60,814,143,3.027773032192037,246666.67,1109,439,2984,3231,5705,8718,9769,7563,10021,1318,308,2976,27.3,3,11.72,14.78,3.2,3.950805681943736,3.12
1913,440,4,0,88,26,142,40,0,83,12,61,0,9,28,12,15,3,484,941,0,66,10,35,420,42,38,789,149,1.8604965640498,246562.5,794,420,2935,2598,5753,8295,9567,7125,10762,1008,214,2888,25.83,3,11.57,14.97,2.1,3.606002380530031,3.09
1914,240,4,0,80,42,102,33,0,80,3,35,2,8,23,5,6,1.0001,360,1089,0,52,5,28,333,47,25,799,80,2.926955777855809,235000,680,380,2524,2124,4708,8071,12699,10990,9982,847,246,2879,25.3,3,11.96,15.61,3.3,3.156384505021521,3.21
1915,152,9,0,42,228,98,20,0,85,1.0001,22,0,4,11,5,0,0,287,762,0,38,4,31,197,16,16,578,46,.7532013093837173,192666.67,424,303,1196,963,3578,6821,13205,13141,7096,664,263,2669,36.59,2,11.03,25.72,1.1,.948316737790422,14.93
1916,121,7,1.0001,26,230,89,32,0,82,2,7,0,2,7,11,1.0001,0,277,608,0,34,3,27,116,21,12,461,46,.1438882907087043,184400,934,343,933,877,3513,5747,12982,11742,7087,599,184,2629,61.36,2,12.71,50.85,.4,.3291020216267043,40.8
1917,94,7,0,20,159,62,16,0,83,6,6,0,5,11,18,4,1.0001,265,935,0,45,7,21,80,18,14,459,26,.2787838969645711,163928.58,434,337,630,674,3197,5171,12693,10484,7319,596,149,2350,93.25,2,15.69,55.7,.6,.4662004662004662,46.19
1918,66,4,2,17,68,94,16,0,67,4,7,0,2,8,6,1.0001,2,287,823,0,29,6,15,265,9,4,426,25,.4569327883702914,152142.86,335,212,682,757,2691,4247,14233,11896,7180,468,157,2155,114.52,2,15.84,56.64,.8,.6472491909385113,47.07
1919,176,3,0,43,35,202,29,0,87,9,7,0,16,19,7,10,1.0001,460,1155,0,62,5,31,151,23,21,534,35,2.797321240309071,222500,746,304,2384,2292,4443,6684,15351,9893,11044,1036,425,3417,135.2,2,18.29,51.17,3.4,3.024747937671861,40.1
1920,154,8,0,24,26,190,32,1.0001,80,9,21,0,27,23,19,6,2,439,1294,0,58,8,31,756,23,21,567,40,1.743600406538549,246521.73,1053,411,3241,3014,5023,7988,15086,7989,12046,1375,495,4803,130.7,2,24.89,33.22,2,1.954545454545455,11.61
1921,177,2,1.0001,34,34,197,27,1.0001,81,13,24,0,21,26,30,12,1.0001,361,1107,0,48,3,21,1167,34,18,544,38,10.990721664813,247272.73,1125,421,3581,3782,4774,8099,13803,8275,12630,1460,443,4051,154,2,33.24,34.05,11.3,11.02378228869611,6.06
1922,183,6,0,38,18,202,21,1.0001,82,8,30,1.0001,24,30,22,8,3,401,939,0,50,11,23,1287,38,9,584,52,9.626676603295014,253913.05,1035,437,3861,3681,4929,8735,14465,8571,12530,1600,517,3964,171.33,0,30.3,36.39,9.800000000000001,9.675714859841033,4.98
1923,169,8,0,37,13,99,23,0,63,8,19,0,26,35,19,10,0,389,1146,0,58,8,13,1313,41,23,657,40,7.91769445120697,273750,1257,530,3652,3515,5453,9463,17622,10441,14561,1862,820,3798,181.68,0,26.43,30.16,8.1,7.987518452051988,2.9
1924,178,5,0,28,20,125,45,0,77,11,38,0,20,36,18,5,0,387,1235,1.0001,39,9,19,346,32,25,647,43,7.036532922168242,281304.34,1233,691,3980,3787,5950,10102,15328,8570,15130,1922,845,4122,174.7,0,23.71,27.21,7.2,7.117407622868066,2.84
